code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-04-14,-85795200000,140.31,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.42
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-04-21,-85190400000,140.29,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.44
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-04-28,-84585600000,140.31,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.42
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-05-05,-83980800000,140.25,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.48
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-05-12,-83376000000,140.26,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.47
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-05-19,-82771200000,140.35,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.38
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-05-26,-82166400000,140.46,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.27
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-06-02,-81561600000,140.6,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.13
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-06-09,-80956800000,140.64,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.09
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-06-15,-80438400000,140.73,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.0
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-06-23,-79747200000,140.67,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.06
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-06-30,-79142400000,140.61,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.12
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-07-08,-78451200000,140.56,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.17
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-07-13,-78019200000,140.52,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.21
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-07-21,-77328000000,140.45,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.28
